text,layer,head,mean_conc
dialogue,2,11,0.35364910534449984
dialogue,3,0,0.4930504353678956
dialogue,3,1,0.37975047133406814
dialogue,3,2,0.27826104449982547
dialogue,3,3,0.30526837797797457
dialogue,3,4,0.3983587929788901
dialogue,3,5,0.31327261790937305
dialogue,3,6,0.30122428402608753
dialogue,3,7,0.29477723672681927
dialogue,3,8,0.34490323370816756
dialogue,3,9,0.3170040447492989
dialogue,3,10,0.31981060547488077
dialogue,3,11,0.30003527567094684
dialogue,4,0,0.3214082538473363
dialogue,4,1,0.33656646645798977
dialogue,4,2,0.42557036450931
dialogue,4,3,0.27331454443688297
dialogue,4,4,0.35212242572891467
dialogue,4,5,0.29968311561613664
dialogue,4,6,0.2890467148046104
dialogue,4,7,0.3290594506020449
dialogue,4,8,0.36176587245902236
dialogue,4,9,0.3080185192580126
dialogue,4,10,0.3996033735421239
dialogue,4,11,0.300255828670093
dialogue,5,0,0.3446938872945552
dialogue,5,1,0.2965497699927311
dialogue,5,2,0.3031459982906069
dialogue,5,3,0.38941118242789285
dialogue,5,4,0.2826153496090247
dialogue,5,5,0.31299119245032875
dialogue,5,6,0.2982949793946986
dialogue,5,7,0.3143169496740614
dialogue,5,8,0.33025538069861277
dialogue,5,9,0.32478485788617817
dialogue,5,10,0.32566417510412177
dialogue,5,11,0.3458179855833248
dialogue,6,0,0.31964995940120855
dialogue,6,1,0.28281740540144396
dialogue,6,2,0.3203596098690617
dialogue,6,3,0.34556674501117396
dialogue,6,4,0.30659852252931014
dialogue,6,5,0.36888250434885217
dialogue,6,6,0.3140388730229164
dialogue,6,7,0.32130659903798786
dialogue,6,8,0.29859983616945696
dialogue,6,9,0.31884225412290923
dialogue,6,10,0.31917084236534277
dialogue,6,11,0.29126058731760296
dialogue,7,0,0.29569478789154363
dialogue,7,1,0.3264066999664112
dialogue,7,2,0.3010043212953879
dialogue,7,3,0.31258145187582287
dialogue,7,4,0.3439945323126657
dialogue,7,5,0.31940168841760985
dialogue,7,6,0.32157652019237987
dialogue,7,7,0.34344484733075514
dialogue,7,8,0.35487581059640766
dialogue,7,9,0.32170987311674626
dialogue,7,10,0.3424297543812771
dialogue,7,11,0.3101659389782925
dialogue,8,0,0.3276005992475821
dialogue,8,1,0.31877560822331175
dialogue,8,2,0.3458011493999131
dialogue,8,3,0.3100844971379455
dialogue,8,4,0.3266114066449963
dialogue,8,5,0.33931346024785725
dialogue,8,6,0.3455767430821244
dialogue,8,7,0.30078642191935556
dialogue,8,8,0.35237837932547744
dialogue,8,9,0.364573988987475
dialogue,8,10,0.3370284048878417
dialogue,8,11,0.33302205071157337
dialogue,9,0,0.3361121087658162
dialogue,9,1,0.31300137693784674
dialogue,9,2,0.35020871247564045
dialogue,9,3,0.34969802535310085
dialogue,9,4,0.3367252203882957
dialogue,9,5,0.3506616801023483
dialogue,9,6,0.30743687463049985
dialogue,9,7,0.3458597237358288
dialogue,9,8,0.3441323957272938
dialogue,9,9,0.31062518972523356
dialogue,9,10,0.31377404563281003
dialogue,9,11,0.3600681196061932
dialogue,10,0,0.3338272735780599
dialogue,10,1,0.30630794654087146
dialogue,10,2,0.30693619835133457
dialogue,10,3,0.30261829282556263
dialogue,10,4,0.35853361718508664
dialogue,10,5,0.3385842260049314
dialogue,10,6,0.2902322527097196
dialogue,10,7,0.35588232960019794
dialogue,10,8,0.34327234388614186
dialogue,10,9,0.34085619875362944
dialogue,10,10,0.3465030099056205
dialogue,10,11,0.3077916095451433
dialogue,11,0,0.3120691846219861
dialogue,11,1,0.309670300508032
dialogue,11,2,0.3369325889008386
dialogue,11,3,0.2969780390968128
dialogue,11,4,0.4006915414819912
dialogue,11,5,0.3298784880613794
dialogue,11,6,0.31979362666606903
dialogue,11,7,0.37084160897196555
dialogue,11,8,0.4754118517953522
dialogue,11,9,0.3268868673820885
dialogue,11,10,0.34939036442309007
dialogue,11,11,0.5669591898212627
math,0,0,0.3195454627275467
math,0,1,0.2955127465336219
math,0,2,0.465904765802881
math,0,3,0.28448057207076444
math,0,4,0.29693574814692786
math,0,5,0.32299527266751166
math,0,6,0.25508478186700656
math,0,7,0.3009763172139292
math,0,8,0.4396261961563774
math,0,9,0.4314989965894948
math,0,10,0.4447226699279702
math,0,11,0.34036801690640656
math,1,0,0.303993568148302
math,1,1,0.28053319745737576
math,1,2,0.26291630417108536
math,1,3,0.5797127219645873
math,1,4,0.29979006622148596
math,1,5,0.3598469725769499
math,1,6,0.34537451552308124
math,1,7,0.3273814987877141
math,1,8,0.36041560477536655
math,1,9,0.3363664347840392
math,1,10,0.32887720316648483
math,1,11,0.6623884122008863
math,2,0,0.34414092548515485
math,2,1,0.3850186680969985
math,2,2,0.30937823815190274
math,2,3,0.27376234855340875
math,2,4,0.3462825164846752
math,2,5,0.2967442588313766
math,2,6,0.3917839967686197
math,2,7,0.3267285875652147
math,2,8,0.3089443299433459
math,2,9,0.3381858351437942
math,2,10,0.3194467558161072
math,2,11,0.3733795466630355
math,3,0,0.4965195189351621
math,3,1,0.29936559077190317
math,3,2,0.26051952171584836
math,3,3,0.28143130858307297
math,3,4,0.36443544859471527
math,3,5,0.32463605054046796
math,3,6,0.31360571604707965
math,3,7,0.27155383611502854
math,3,8,0.32764449845189636
math,3,9,0.31595758024765097
math,3,10,0.3033553789491239
math,3,11,0.3047337736124578
math,4,0,0.29632567290378653
math,4,1,0.3104668324408324
math,4,2,0.37774182272994
math,4,3,0.2911964334223581
math,4,4,0.32235288619995117
math,4,5,0.2717779204249382
math,4,6,0.3225033199009688
math,4,7,0.33600357855143753
math,4,8,0.3006723095541415
math,4,9,0.2857967883996341
math,4,10,0.3522986235178035
math,4,11,0.30827951431274414
math,5,0,0.2933773479383925
math,5,1,0.30484978206779645
math,5,2,0.2861706501115923
math,5,3,0.331545267092145
math,5,4,0.2915522248848625
math,5,5,0.3087914249171381
math,5,6,0.28290420738251315
math,5,7,0.3129617575070132
math,5,8,0.26839049484418787
math,5,9,0.30060286884722504
math,5,10,0.38770844171876495
math,5,11,0.3651414115143859
math,6,0,0.29094664590514224
math,6,1,0.27279472253892734
math,6,2,0.32126034245542856
math,6,3,0.2883868648306183
math,6,4,0.32359693069820816
math,6,5,0.30174919282612594
math,6,6,0.3122639623673066
math,6,7,0.3089283251244089
math,6,8,0.2889955652796704
math,6,9,0.2911947155776231
math,6,10,0.30263230658095813
math,6,11,0.33607092111007025
math,7,0,0.2854233685394992
math,7,1,0.2861644194825836
math,7,2,0.2995424183166545
math,7,3,0.3567672880447429
math,7,4,0.32394478372905566
math,7,5,0.2971018756861272
math,7,6,0.2812487094298653
math,7,7,0.299835708802161
math,7,8,0.3031577296231104
math,7,9,0.32348469288452814
math,7,10,0.2741227616434512
math,7,11,0.3067764244649721
math,8,0,0.3487024414150611
math,8,1,0.28102717678184097
math,8,2,0.3153961310568063
math,8,3,0.327476162949334
math,8,4,0.30508650612571964
math,8,5,0.2964452100188836
math,8,6,0.3230017708695453
math,8,7,0.30742699199396634
math,8,8,0.33288829838452133
math,8,9,0.30153911139654077
math,8,10,0.3180147069303886
math,8,11,0.3306488608536513
math,9,0,0.2813963566137397
math,9,1,0.3205459558445474
math,9,2,0.2965414828580359
math,9,3,0.3179849774941154
math,9,4,0.3534298879296883
math,9,5,0.34126701659482456
math,9,6,0.2853232149196708
math,9,7,0.32226072122221405
math,9,8,0.30128295233716135
math,9,9,0.3120652045244756
math,9,10,0.32476837576731393
math,9,11,0.3663974874045538
math,10,0,0.29385618509157846
math,10,1,0.3156134090993715
math,10,2,0.32472288349400397
math,10,3,0.32159006466036255
math,10,4,0.3308979386220808
math,10,5,0.2990215880715329
math,10,6,0.3176292278196501
math,10,7,0.3333888183469358
math,10,8,0.2907128045740335
math,10,9,0.29181944319735403
math,10,10,0.31280788066594495
math,10,11,0.3511215024020361
math,11,0,0.3011472128007723
math,11,1,0.2946113454906837
math,11,2,0.32189806064833765
math,11,3,0.35883995534285257
math,11,4,0.33660527642654336
math,11,5,0.30969820884258853
math,11,6,0.2952701653475347
math,11,7,0.30093408764704416
math,11,8,0.5055192106443903
math,11,9,0.29144922157992487
math,11,10,0.327545753315739
math,11,11,0.388273588989092
