model,layer,head,rA,mean_conc,r_conc_entropy,head_dim
gpt2-medium,10,10,-0.7950878,0.29069560560686836,-0.12217213505774889,64
gpt2-medium,10,11,-0.5780463,0.37025338154414605,-0.6508891599915246,64
gpt2-medium,10,12,-0.59315497,0.41297815894258433,-0.4037297004312502,64
gpt2-medium,10,13,-0.7191956,0.33439774040518133,-0.6369981883601015,64
gpt2-medium,10,14,-0.7766491,0.30881230995572845,-0.48342257855947024,64
gpt2-medium,10,15,-0.70823264,0.33460200500899345,-0.46809774281975336,64
gpt2-medium,11,0,-0.68908817,0.33220101070815117,-0.5140526232097368,64
gpt2-medium,11,1,-0.8945384,0.2971473752424635,-0.24934340672320254,64
gpt2-medium,11,2,-0.63329655,0.3834447727121156,-0.5550211322774335,64
gpt2-medium,11,3,-0.7683311,0.3534986222612447,-0.27842231955806224,64
gpt2-medium,11,4,-0.71661395,0.37496757815624104,-0.05266010352520011,64
gpt2-medium,11,5,-0.71445537,0.30590814608952094,-0.04204719432301165,64
gpt2-medium,11,6,-0.604993,0.4286148630339524,-0.25739596541275944,64
gpt2-medium,11,7,-0.6697416,0.3410075332584052,-0.4801006262795753,64
gpt2-medium,11,8,-0.69982177,0.3499597362403212,-0.4235129757624025,64
gpt2-medium,11,9,-0.8006993,0.3420314783680028,-0.49353028184072323,64
gpt2-medium,11,10,-0.7432335,0.3218442741139182,-0.6875156950985766,64
gpt2-medium,11,11,-0.7897584,0.3728662225706824,-0.1558613542991593,64
gpt2-medium,11,12,-0.79697394,0.32700777721816093,-0.3100812344766796,64
gpt2-medium,11,13,-0.5380669,0.4182418995890124,-0.704051797019001,64
gpt2-medium,11,14,-0.6343163,0.35876574495743063,-0.48695395581989875,64
gpt2-medium,11,15,-0.8899428,0.30306662670497236,-0.39951596406999335,64
gpt2-medium,12,0,-0.7341059,0.3698670545528675,-0.45687240010917496,64
gpt2-medium,12,1,-0.8251597,0.3023979941318775,-0.09989610240152674,64
gpt2-medium,12,2,-0.6271612,0.41231151387609283,-0.4744232740459602,64
gpt2-medium,12,3,-0.571225,0.3413668552349354,-0.3259584899731026,64
gpt2-medium,12,4,-0.8206831,0.33121637229261724,-0.5696710941895395,64
gpt2-medium,12,5,-0.7680704,0.341293560533688,-0.6501927189895684,64
gpt2-medium,12,6,-0.6996051,0.35081733146618155,-0.4854705810147923,64
gpt2-medium,12,7,-0.70159096,0.338546601862743,-0.5899896095189535,64
gpt2-medium,12,8,-0.7548736,0.33681648661350383,-0.11890646950970846,64
gpt2-medium,12,9,-0.6117285,0.3240166398985633,-0.6241293823626305,64
gpt2-medium,12,10,-0.821718,0.30601141524725944,-0.7810355524850932,64
gpt2-medium,12,11,-0.9037498,0.3072984866027174,-0.5027141339948757,64
gpt2-medium,12,12,-0.7660274,0.3585207539385763,-0.49833497956260575,64
gpt2-medium,12,13,-0.93637085,0.2894267429565561,-0.2616073825067304,64
gpt2-medium,12,14,-0.6561674,0.34864824804766426,-0.4187266374951436,64
gpt2-medium,12,15,-0.6095165,0.3278179240637812,-0.46774370539986093,64
gpt2-medium,13,0,-0.79647005,0.30243438585051174,-0.353319211846473,64
gpt2-medium,13,1,-0.8558747,0.36701940668040306,-0.5646149660447619,64
gpt2-medium,13,2,-0.61256933,0.4043523936436094,-0.49178356741204576,64
