domain,layer,head,rA,mean_conc
single,1,3,-0.24033677630052264,0.48395028296444154
single,1,4,-0.21680461440855625,0.37282528686854577
single,1,5,-0.3798212368478011,0.527821033882598
single,1,6,-0.2409809922701199,0.4569453153138359
single,1,7,-0.312174211664445,0.3039624210860994
single,1,8,-0.29565533682676715,0.338351600492994
single,1,9,-0.10307523891482498,0.3175689538733827
single,1,10,-0.34847197974617383,0.42617070198886925
single,1,11,-0.3159433281418954,0.7061231225315068
single,2,0,-0.19657756136315258,0.3832398812390036
single,2,1,-0.3613611253400786,0.3282381063327193
single,2,2,-0.2563957166917075,0.41896553089221317
single,2,3,-0.20576248019191437,0.35784438790546524
single,2,4,-0.28940236356522375,0.4116577263921499
single,2,5,-0.23782592610321462,0.3622449924134546
single,2,6,-0.17286141855358025,0.443105202789108
single,2,7,-0.2386982781877331,0.38378759752959013
single,2,8,-0.2915962743321549,0.34972576331347227
single,2,9,-0.2981644993343053,0.4059643838554621
single,2,10,-0.2988307340196665,0.4320465384258164
single,2,11,-0.3635481388551826,0.3752562217414379
single,3,0,-0.4098886446364772,0.4693751930155688
single,3,1,-0.35912094906306447,0.3721859201581942
single,3,2,-0.32521698948602185,0.3759763797538148
single,3,3,-0.30551801832197084,0.4121555162386762
single,3,4,-0.49716544585794303,0.340887901890609
single,3,5,-0.4307082885062781,0.34270848654624486
single,3,6,-0.2946101118943028,0.38688516554733116
single,3,7,-0.3252052135379053,0.3685417366731498
single,3,8,-0.30385628998598635,0.3441494202448262
single,3,9,-0.2654808747753104,0.39552589588695103
single,3,10,-0.40222565092282997,0.3565867757424712
single,3,11,-0.34271976893624173,0.3476072567411595
single,4,0,-0.3917829166288219,0.36208438211017185
single,4,1,-0.330970704409232,0.3292678827419877
single,4,2,-0.40970632483541725,0.31997689097705817
single,4,3,-0.4969326321864448,0.366471488132245
single,4,4,-0.37875531924103056,0.4820961686265137
single,4,5,-0.4832600683057449,0.3282119692820642
single,4,6,-0.44011983699632956,0.3710502360223068
single,4,7,-0.41113814314100916,0.414324015378952
single,4,8,-0.5715626920826027,0.3592180081953605
single,4,9,-0.5131553080140652,0.36245345800287193
single,4,10,-0.5387018481117006,0.4226905713892645
single,4,11,-0.4337587203492412,0.40888535355528194
single,5,0,-0.4859892978540372,0.41641023351500434
single,5,1,-0.4496424479815713,0.3760736536027657
single,5,2,-0.4806176098984351,0.33777663566999966
single,5,3,-0.35856855241854846,0.35425337838629883
single,5,4,-0.42273030277271495,0.3456238985268606
single,5,5,-0.4802314902235452,0.38073280784818864
single,5,6,-0.3815385776596848,0.38571576722380185
single,5,7,-0.5895323845630831,0.30507600493729115
single,5,8,-0.5720090382680519,0.3883625956045257
single,5,9,-0.5958859057310394,0.30433590803295374
single,5,10,-0.4056513685404411,0.3271418788159887
single,5,11,-0.36476917341287474,0.4020560652845436
single,6,0,-0.4562809700192182,0.36065748354627025
single,6,1,-0.6308277921904734,0.33802808862593436
single,6,2,-0.5666275524922513,0.293744284245703
single,6,3,-0.5579707248434068,0.32837334502902293
single,6,4,-0.39696245819896814,0.3286076016310189
single,6,5,-0.6066990845410801,0.3225858129767908
single,6,6,-0.43297841810152365,0.334644536798199
single,6,7,-0.4804120496382567,0.3355452862257759
single,6,8,-0.4598147564879003,0.36957432536615265
single,6,9,-0.4589736156674622,0.4280825558428963
single,6,10,-0.5777289214737192,0.3902408674152361
single,6,11,-0.4527879079648713,0.31534249966757166
single,7,0,-0.4205711835015472,0.35593634968002635
single,7,1,-0.5671911099291946,0.30792560231768423
single,7,2,-0.5677082789039158,0.40721227373513913
single,7,3,-0.5724799180174518,0.35498213736961287
single,7,4,-0.5835725054859046,0.30554229072812533
single,7,5,-0.5056452972090086,0.3050452367299133
